9.520000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,2.715000000000000000e+02
1244.0,3.0,1.0,64.0,300.0
1947.0,3.0,2.0,17.0,509.8
1725.0,3.0,2.0,42.0,394.0
1959.0,3.0,2.0,15.0,540.0
1314.0,2.0,1.0,14.0,415.0
864.0,2.0,1.0,66.0,230.0
1836.0,3.0,1.0,17.0,560.0
1026.0,3.0,1.0,43.0,294.0
3194.0,4.0,2.0,87.0,718.2
788.0,2.0,1.0,80.0,200.0
1200.0,2.0,2.0,17.0,302.0
1557.0,2.0,1.0,18.0,468.0
1430.0,3.0,1.0,20.0,374.2
1220.0,2.0,1.0,15.0,388.0
1092.0,2.0,1.0,64.0,282.0
848.0,1.0,1.0,17.0,311.8
1682.0,3.0,2.0,23.0,401.0
1768.0,3.0,2.0,18.0,449.8
1040.0,3.0,1.0,44.0,301.0
1652.0,2.0,1.0,21.0,502.0
1088.0,2.0,1.0,35.0,340.0
1316.0,3.0,1.0,14.0,400.282
1593.0,0.0,1.0,20.0,572.0
972.0,2.0,1.0,73.0,264.0
1097.0,3.0,1.0,37.0,304.0
1004.0,2.0,1.0,51.0,298.0
904.0,3.0,1.0,55.0,219.8
1694.0,3.0,1.0,13.0,490.7
1073.0,2.0,1.0,100.0,216.96
1419.0,3.0,2.0,19.0,368.2
1164.0,3.0,1.0,52.0,280.0
1935.0,3.0,2.0,12.0,526.87
1216.0,2.0,2.0,74.0,237.0
2482.0,4.0,2.0,16.0,562.426
1200.0,2.0,1.0,18.0,369.8
1840.0,3.0,2.0,20.0,460.0
1851.0,3.0,2.0,57.0,374.0
1660.0,3.0,2.0,19.0,390.0
1096.0,2.0,2.0,97.0,158.0
1775.0,3.0,2.0,28.0,426.0
2030.0,4.0,2.0,45.0,390.0
1784.0,4.0,2.0,107.0,277.774
1073.0,2.0,1.0,100.0,216.96
1552.0,3.0,1.0,16.0,425.8
1953.0,3.0,2.0,16.0,504.0
1224.0,2.0,2.0,12.0,329.0
1616.0,3.0,1.0,16.0,464.0
816.0,2.0,1.0,58.0,220.0
1349.0,3.0,1.0,21.0,358.0
1571.0,3.0,1.0,14.0,478.0
1486.0,3.0,1.0,57.0,334.0
1506.0,2.0,1.0,16.0,426.98
1097.0,3.0,1.0,27.0,290.0
1764.0,3.0,2.0,24.0,463.0
1208.0,2.0,1.0,14.0,390.8
1470.0,3.0,2.0,24.0,354.0
1768.0,3.0,2.0,84.0,350.0
1654.0,3.0,1.0,19.0,460.0
1029.0,3.0,1.0,60.0,237.0
1120.0,2.0,2.0,16.0,288.304
1150.0,3.0,1.0,62.0,282.0
816.0,2.0,1.0,39.0,249.0
1040.0,3.0,1.0,25.0,304.0
1392.0,3.0,1.0,64.0,332.0
1603.0,3.0,2.0,29.0,351.8
1215.0,3.0,1.0,63.0,310.0
1073.0,2.0,1.0,100.0,216.96
2599.0,4.0,2.0,22.0,666.336
1431.0,3.0,1.0,59.0,330.0
2090.0,3.0,2.0,26.0,480.0
1790.0,4.0,2.0,49.0,330.3
1484.0,3.0,2.0,16.0,348.0
1040.0,3.0,1.0,25.0,304.0
1431.0,3.0,1.0,22.0,384.0
1159.0,3.0,1.0,53.0,316.0
1547.0,3.0,2.0,12.0,430.4
1983.0,3.0,2.0,22.0,450.0
1056.0,3.0,1.0,53.0,284.0
1180.0,2.0,1.0,99.0,275.0
1358.0,2.0,1.0,17.0,414.0
960.0,3.0,1.0,51.0,258.0
1456.0,3.0,2.0,16.0,378.0
1446.0,3.0,2.0,25.0,350.0
1208.0,2.0,1.0,15.0,412.0
1553.0,3.0,2.0,16.0,373.0
882.0,3.0,1.0,49.0,225.0
2030.0,4.0,2.0,45.0,390.0
1040.0,3.0,1.0,62.0,267.4
1616.0,3.0,1.0,16.0,464.0
803.0,2.0,1.0,80.0,174.0
1430.0,3.0,2.0,21.0,340.0
1656.0,3.0,1.0,61.0,430.0
1541.0,3.0,1.0,16.0,440.0
948.0,3.0,1.0,53.0,216.0
1224.0,2.0,2.0,12.0,329.0
1432.0,2.0,1.0,43.0,388.0
1660.0,3.0,2.0,19.0,390.0
1212.0,3.0,1.0,20.0,356.0
1050.0,2.0,1.0,65.0,257.8
